0,月刊ワンのきもち,3,,,,,,,,,1,ワンを1回鍛えることができる。
1,ワン用ダンベル,3,atk,1,,,,,,,1,ワンの攻撃力が永続的に1上がる。
2,ワン用プロテイン,3,def,1,,,,,,,1,ワンの防御力が永続的に1上がる。
3,ワンワン玉・銀,3,maxHp,5,maxYp,5,,,,,1,ワンの体力・やる気が永続的に5上がる。
4,ワンワン玉・金,3,atk,1,def,1,luk,1,,,1,ワンの攻撃力・防御力・運が永続的に1上がる。
5,普通のジャーキー,1,hp,10,,,,,,,1,ワンの体力が10回復する。
6,高級ジャーキー,1,hp,30,,,,,,,1,ワンの体力が30回復する。
7,普通のホネ,1,yp,10,,,,,,,1,ワンのやる気が10回復する。
8,高級なホネ,1,yp,30,,,,,,,1,ワンのやる気が30回復する。
9,ワン用エナドリ,1,hp,15,yp,15,,,,,1,ワンの体力とやる気が15ずつ回復する。
10,スペシャル回復薬,1,hp,99,yp,99,,,,,1,ワンの体力とやる気が全回復する。
11,ワンモジュール・攻,2,atk,2,,,,,,,,ワンの攻撃力が上がる。
12,ワンモジュール・守,2,def,2,,,,,,,,ワンの防御力が上がる。
13,ワンモジュール・福,2,luk,2,,,,,,,,ワンの運が上がる。
14,ワンモジュール・貫,2,atkdmg,2,,,,,,,,ワンが与えるダメージが増える。
15,ワンモジュール・防,2,defdmg,2,,,,,,,,ワンが受けるダメージが減る。
16,ワンモジュール・攻改,2,atk,5,,,,,,,,ワンの攻撃力が上がる。
17,ワンモジュール・守改,2,def,5,,,,,,,,ワンの防御力が上がる。
18,ワンモジュール・福改,2,luk,5,,,,,,,,ワンの運が上がる。
19,ワンモジュール・貫改,2,atkdmg,5,,,,,,,,ワンが与えるダメージが増える。
20,ワンモジュール・防改,2,defdmg,5,,,,,,,,ワンが受けるダメージが減る。
